ID,ID,ID,ID,ID,ID,ID,Label
1,Apa itu social engineering dalam dunia maya?,Social engineering adalah teknik manipulasi psikologis untuk mendapatkan informasi atau akses tanpa peretasan teknis.,Social engineering adalah teknik manipulasi psikologis untuk mendapatkan informasi atau akses tanpa peretasan teknis.,1,1,1,Good
2,Apa fungsi firewall dalam keamanan jaringan?,Firewall menyaring lalu lintas jaringan dan memblokir akses yang mencurigakan.,Firewall berfungsi untuk mempercepat koneksi internet.,0.8228,0.7834,0.8026,Medium
3,Jelaskan perbedaan malware dan spyware.,"Malware merusak sistem, spyware mencuri data dengan diam-diam.","Malware dan spyware adalah hal yang sama, yaitu virus komputer.",0.7554,0.7149,0.7346,Medium
4,Apa itu ransomware?,Ransomware mengunci file pengguna dan meminta uang agar bisa dibuka kembali.,Ransomware mengunci file pengguna dan meminta uang agar bisa dibuka kembali.,1,1,1,Good
5,Apa bahaya menggunakan software bajakan?,Software bajakan rawan malware dan tidak mendapat update keamanan.,Software bajakan rawan malware dan tidak mendapat update keamanan.,1,1,1,Good
6,Apa itu digital footprint?,Semua aktivitas online kita yang bisa dilacak dan disalahgunakan jika tidak hati-hati.,Digital footprint adalah jejak sidik jari pada layar ponsel.,0.6757,0.6577,0.6666,Medium
7,Apa itu cyberbullying?,Tindakan merundung atau melecehkan seseorang lewat dunia maya.,Tindakan merundung atau melecehkan seseorang lewat dunia maya.,1,1,1,Good
8,Apa yang dimaksud dengan two-factor authentication (2FA)?,2FA adalah metode keamanan dengan dua lapisan verifikasi agar akun lebih aman.,2fa adalah metode keamanan dengan dua lapisan verifikasi agar akun lebih aman.,0.9886,0.9886,0.9886,Good
9,Bagaimana cara kerja VPN dalam melindungi data?,VPN menyembunyikan IP dan mengenkripsi koneksi internet agar data aman.,VPN adalah antivirus yang melindungi dari serangan siber.,0.7568,0.7439,0.7503,Medium
10,Apa itu data breach?,Kebocoran data penting yang bisa dimanfaatkan untuk kejahatan siber.,Kebocoran data penting yang bisa dimanfaatkan untuk kejahatan siber.,1,1,1,Good
11,Apa yang harus diketahui anak-anak tentang malware?,"Anak-anak perlu memahami dasar-dasar malware, risikonya, serta cara melindungi diri secara aman dan bertanggung jawab saat menggunakan teknologi digital.","Anak-anak perlu memahami dasar-dasar malware, risikonya, serta cara melindungi diri secara aman dan bertanggung jawab saat menggunakan teknologi digital.",1,1,1,Good
12,Apa yang harus diketahui anak-anak tentang phishing?,"Anak-anak perlu memahami dasar-dasar phishing, risikonya, serta cara melindungi diri secara aman dan bertanggung jawab saat menggunakan teknologi digital.",Phishing adalah upaya untuk mencuri data penting seperti kata sandi.,0.7461,0.6884,0.7161,Medium
13,Apa yang harus diketahui anak-anak tentang jejak digital?,"Anak-anak perlu memahami dasar-dasar jejak digital, risikonya, serta cara melindungi diri secara aman dan bertanggung jawab saat menggunakan teknologi digital.","Anak-anak perlu memahami dasar-dasar jejak digital, risikonya, serta cara melindungi diri secara aman dan bertanggung jawab saat menggunakan teknologi digital.",1,1,1,Good
14,Apa yang harus diketahui anak-anak tentang VPN?,"Anak-anak perlu memahami dasar-dasar VPN, risikonya, serta cara melindungi diri secara aman dan bertanggung jawab saat menggunakan teknologi digital.",VPN adalah aplikasi untuk bermain game online.,0.7706,0.6646,0.7137,Medium
15,Apa yang harus diketahui anak-anak tentang cyberbullying?,"Anak-anak perlu memahami dasar-dasar cyberbullying, risikonya, serta cara melindungi diri secara aman dan bertanggung jawab saat menggunakan teknologi digital.","anak-anak perlu memahami dasar-dasar cyberbullying, risikonya, serta cara melindungi diri secara aman dan bertanggung jawab saat menggunakan teknologi digital.",0.9914,0.9914,0.9914,Good
